"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","mobilite_educ","age_cat"
110132,"DE",6.268873,"1","2","2",1,2,2,1,47,"ONQ","ONQ_ONQ_F","1_2_F","41-65"
110201,"GB",3.9563665,"5","2","3",5,2,3,1,62,"C","C_OQ_F","5_3_F","41-65"
110203,"GB",1.5241818,"5","5","3",5,5,3,2,25,"PI","PI_C_M","5_5_M","14-25"
110212,"GB",4.5075684,"5","1","5",5,1,5,1,40,"PI","PI_PI_F","5_5_F","26-40"
110215,"DE",2.2119153,"3","3","2",3,3,2,2,55,"C","C_OQ_M","3_3_M","41-65"
110219,"GB",3.2743874,"5","1","1",5,1,1,2,62,"C","C_OQ_M","5_1_M","41-65"
110222,"GB",1.7909278,"5","3","2",5,3,2,1,26,"C","C_PI_F","5_2_F","26-40"
110301,"GB",2.8495405,"1","1","1",1,1,1,1,64,"OQ","OQ_OQ_F","1_1_F","41-65"
110302,"GB",3.869703,"5","3","5",5,3,5,1,34,"C","C_C_F","5_5_F","26-40"
110313,"GB",3.2465389,"2","2","1",2,2,1,1,40,"OQ","OQ_ONQ_F","2_1_F","26-40"
110322,"DE",2.7093396,"3","3","3",3,3,3,2,25,"PI","PI_OQ_M","3_3_M","14-25"
110323,"GB",3.069121,"5","5","2",5,5,2,2,38,"C","C_PI_M","5_5_M","26-40"
110402,"GB",3.2465389,"2","1","1",2,1,1,1,54,"PI","PI_PI_F","2_1_F","41-65"
110403,"GB",3.537526,"5","5","5",5,5,5,2,61,"C","C_C_M","5_5_M","41-65"
110404,"GB",3.537526,"5","1","1",5,1,1,2,55,"OQ","OQ_OQ_M","5_1_M","41-65"
110408,"GB",1.5345604,"5","5","5",5,5,5,2,40,"C","C_C_M","5_5_M","26-40"
110424,"GB",3.2743874,"1","1","1",1,1,1,2,71,"OQ","OQ_ONQ_M","1_1_M",">65"
110429,"DE",3.2094607,"3","5","5",3,5,5,1,34,"PI","PI_C_F","3_5_F","26-40"
110506,"DE",3.2094607,"3","4","3",3,4,3,1,32,"OQ","OQ_C_F","3_3_F","26-40"
110511,"GB",2.5925791,"3","1","1",3,1,1,2,38,"OQ","OQ_OQ_M","3_1_M","26-40"
110512,"DE",2.2119153,"3","3","3",3,3,3,2,65,"OQ","OQ_OQ_M","3_3_M","41-65"
110517,"GB",1.4941275,"1","1","1",1,1,1,2,91,"OQ","OQ_C_M","1_1_M",">65"
110519,"GB",1.3909912,"5","5","5",5,5,5,2,21,"OQ","OQ_C_M","5_5_M","14-25"
110522,"GB",4.482383,"1","1","1",1,1,1,2,76,"C","C_OQ_M","1_1_M",">65"
110523,"GB",3.8888688,"2","1","1",2,1,1,2,47,"OQ","OQ_OQ_M","2_1_M","41-65"
110524,"DE",1.6337285,"5","5","4",5,5,4,2,39,"C","C_C_M","5_5_M","26-40"
110601,"DE",2.040583,"4","4","5",4,4,5,2,47,"OQ","OQ_PI_M","4_4_M","41-65"
110603,"GB",4.172973,"5","2","2",5,2,2,2,28,"C","C_PI_M","5_2_M","26-40"
110604,"GB",1.4941275,"1","1","1",1,1,1,2,72,"C","C_PI_M","1_1_M",">65"
110614,"GB",2.407093,"1","1","1",1,1,1,1,55,"OQ","OQ_OQ_F","1_1_F","41-65"
110615,"GB",2.7424495,"5","5","5",5,5,5,1,39,"C","C_C_F","5_5_F","26-40"
110616,"GB",2.407093,"1","1","1",1,1,1,1,69,"OQ","OQ_OQ_F","1_1_F",">65"
110620,"GB",1.4941275,"1","1","1",1,1,1,2,83,"OQ","OQ_ONQ_M","1_1_M",">65"
110621,"GB",1.3909912,"1","2","5",1,2,5,2,19,"OQ","OQ_OQ_M","1_2_M","14-25"
110702,"GB",2.8408246,"1","1","1",1,1,1,2,54,"C","C_ONQ_M","1_1_M","41-65"
110706,"GB",1.7909278,"5","5","2",5,5,2,1,32,"C","C_PI_F","5_2_F","26-40"
110708,"GB",3.2743874,"3","1","1",3,1,1,2,57,"OQ","OQ_OQ_M","3_1_M","41-65"
110710,"GB",3.2743874,"1","1","1",1,1,1,2,65,"ONQ","ONQ_OQ_M","1_1_M","41-65"
110724,"GB",1.7909278,"5","5","3",5,5,3,1,33,"PI","PI_C_F","5_3_F","26-40"
110806,"GB",4.8698087,"5","3","1",5,3,1,1,45,"C","C_OQ_F","5_1_F","41-65"
110810,"GB",1.5345604,"1","1","1",1,1,1,2,35,"ONQ","ONQ_ONQ_M","1_1_M","26-40"
110814,"GB",3.2933385,"2","1","1",2,1,1,2,33,"OQ","OQ_ONQ_M","2_1_M","26-40"
110821,"GB",3.537526,"1","1","1",1,1,1,2,56,"OQ","OQ_ONQ_M","1_1_M","41-65"
110904,"GB",1.5241818,"2","2","2",2,2,2,2,30,"C","C_PI_M","2_2_M","26-40"
